location_id,country,location,lower_age,upper_age,Mean,x025,x975
48,Colombia,Bucaramanga,19,40,29.8259626,25.9718648,33.8192543
48,Colombia,Bucaramanga,41,60,25.606216,21.5907695,29.8154318
48,Colombia,Bucaramanga,61,100,23.2530722,18.469521,28.5681497
49,Colombia,Cucuta,5,10,36.2437018,27.4744027,45.4569654
49,Colombia,Cucuta,11,18,39.2972668,32.5315949,46.2818413
49,Colombia,Cucuta,19,40,39.1402217,34.8044168,43.5660432
49,Colombia,Cucuta,41,60,31.2260071,26.956299,35.7173628
49,Colombia,Cucuta,61,100,27.501682,22.1472677,33.1667405
50,Colombia,Villavicencio,5,10,20.9019248,13.7966146,29.0462093
50,Colombia,Villavicencio,11,18,35.507308,28.8562757,42.4365244
50,Colombia,Villavicencio,19,40,33.7717467,29.9238389,37.8159195
50,Colombia,Villavicencio,41,60,27.5314354,23.3705445,32.070815
50,Colombia,Villavicencio,61,100,23.1090508,17.8578772,28.7901978
51,Colombia,Bogotá,5,10,30.141274,24.3725051,36.2008592
51,Colombia,Bogotá,11,18,26.3649509,22.4884142,30.4099655
51,Colombia,Bogotá,19,40,28.8197077,26.6630294,31.0286209
51,Colombia,Bogotá,41,60,26.6700008,24.2755515,29.1754763
51,Colombia,Bogotá,61,100,16.8609088,14.1383293,19.7657799
52,Colombia,Cali,5,10,27.9903684,20.6194295,36.1542479
52,Colombia,Cali,11,18,28.4752253,22.8147741,34.482294
52,Colombia,Cali,19,40,28.1234489,24.7794215,31.5623449
52,Colombia,Cali,41,60,27.494971,23.8729441,31.3489714
52,Colombia,Cali,61,100,19.3793067,15.4991553,23.6200505
54,Colombia,Ipiales,5,10,31.1065917,21.7864641,41.3121979
54,Colombia,Ipiales,11,18,32.1674113,25.5455367,39.3583994
54,Colombia,Ipiales,19,40,32.2878908,28.5510931,36.149522
54,Colombia,Ipiales,41,60,30.49553,26.2335194,34.9173557
54,Colombia,Ipiales,61,100,22.1096582,16.9851116,27.7996157
59,Peru,Cusco Province,0,100,36.703867,34.2327919,39.3327864
60,Peru,Lambayeque,9,20,31.370425,24.3309024,39.4022962
60,Peru,Lambayeque,21,30,36.5209106,29.8978723,43.7532364
60,Peru,Lambayeque,31,40,41.724671,35.3353508,48.7476763
60,Peru,Lambayeque,41,50,36.4316414,30.170193,43.3115503
60,Peru,Lambayeque,51,60,35.1674037,28.7591199,42.4002635
60,Peru,Lambayeque,61,70,29.5737371,22.4962359,37.4429928
60,Peru,Lambayeque,71,80,23.8559294,16.1734726,32.8535061
