"age","population_density"
0,0.016623379659714
1,0.016623379659714
2,0.016623379659714
3,0.016623379659714
4,0.016623379659714
5,0.016426624477713
6,0.016426624477713
7,0.016426624477713
8,0.016426624477713
9,0.016426624477713
10,0.0175646642574294
11,0.0175646642574294
12,0.0173462738302569
13,0.0173462738302569
14,0.0173462738302569
15,0.0175794780203215
16,0.0175794780203215
17,0.0175794780203215
18,0.0176925368399156
19,0.0176925368399156
20,0.018200419431324
21,0.0182073173271874
22,0.0182073173271874
23,0.0182073173271874
24,0.0182073173271874
25,0.0184590071210624
26,0.0184590071210624
27,0.0184590071210624
28,0.0184590071210624
29,0.0184590071210624
30,0.0162786481485616
31,0.0162786481485616
32,0.0162786481485616
33,0.0162786481485616
34,0.0162786481485616
35,0.0150138208145692
36,0.0150138208145692
37,0.0150138208145692
38,0.0150138208145692
39,0.0150138208145692
40,0.0134555208216011
41,0.0134147075900242
42,0.0134147075900242
43,0.0134147075900242
44,0.0134147075900242
45,0.011669925040959
46,0.011669925040959
47,0.011669925040959
48,0.011669925040959
49,0.011669925040959
50,0.0100018558291882
51,0.0100018558291882
52,0.0100018558291882
53,0.0100018558291882
54,0.0100018558291882
55,0.00871366559230193
56,0.00871366559230193
57,0.00871366559230193
58,0.00871366559230193
59,0.00871366559230193
60,0.00682771656042222
61,0.00682771656042222
62,0.00682771656042222
63,0.00682771656042222
64,0.00682771656042222
65,0.00516844002762643
66,0.00516844002762643
67,0.00516844002762643
68,0.00516844002762643
69,0.00516844002762643
70,0.00360349965575056
71,0.00360349965575056
72,0.00360349965575056
73,0.00360349965575056
74,0.00360349965575056
75,0.00232993295088592
76,0.00232993295088592
77,0.00232993295088592
78,0.00232993295088592
79,0.00232993295088592
80,0.00134507211246768
81,0.00134507211246768
82,0.00134507211246768
83,0.00134507211246768
84,0.00134507211246768
85,0.00425636237569236
